HRR,Time_Period,Total_Hospital_Beds,Available_Hospital_Beds,Hospital_Beds_Needed,Total_ICU_Beds,Available_ICU_Beds,ICU_Beds_Needed,Bed_Occupancy_Rate,ICU_Occupancy_Rate
"Fort Wayne, IN",12 Months,2442,1038,909,376,143,197,37.22358722,52.39361702
"Fort Wayne, IN",18 Months,2442,1038,593,376,143,128,24.28337428,34.04255319
"Fort Worth, TX",6 Months,4200,1400,4822,501,187,1016,114.8095238,202.7944112
"Fort Worth, TX",12 Months,4200,1400,2411,501,187,508,57.4047619,101.3972056
"Fort Worth, TX",18 Months,4200,1400,1572,501,187,331,37.42857143,66.06786427
"Fresno, CA",6 Months,1935,547,2512,205,77,530,129.8191214,258.5365854
"Fresno, CA",12 Months,1935,547,1256,205,77,265,64.90956072,129.2682927
"Fresno, CA",18 Months,1935,547,819,205,77,173,42.3255814,84.3902439
"Gainesville, FL",6 Months,1834,469,1298,303,88,282,70.7742639,93.06930693
"Gainesville, FL",12 Months,1834,469,649,303,88,141,35.38713195,46.53465347
"Gainesville, FL",18 Months,1834,469,423,303,88,92,23.06434024,30.3630363
"Gary, IN",6 Months,1434,638,1096,179,95,237,76.42956764,132.4022346
"Gary, IN",12 Months,1434,638,548,179,95,119,38.21478382,66.48044693
"Gary, IN",18 Months,1434,638,357,179,95,77,24.89539749,43.01675978
"Grand Forks, ND",6 Months,952,374,362,31,18,78,38.02521008,251.6129032
"Grand Forks, ND",12 Months,952,374,181,31,18,39,19.01260504,125.8064516
"Grand Forks, ND",18 Months,952,374,118,31,18,25,12.39495798,80.64516129
"Grand Junction, CO",6 Months,696,321,758,75,33,165,108.908046,220
"Grand Junction, CO",12 Months,696,321,379,75,33,82,54.45402299,109.3333333
"Grand Junction, CO",18 Months,696,321,247,75,33,54,35.48850575,72
"Grand Rapids, MI",6 Months,2440,957,2583,236,86,553,105.8606557,234.3220339
"Grand Rapids, MI",12 Months,2440,957,1292,236,86,276,52.95081967,116.9491525
"Grand Rapids, MI",18 Months,2440,957,842,236,86,180,34.50819672,76.27118644
"Great Falls, MT",6 Months,937,367,324,50,27,71,34.57844184,142
"Great Falls, MT",12 Months,937,367,162,50,27,35,17.28922092,70
"Great Falls, MT",18 Months,937,367,106,50,27,23,11.31270011,46
"Greeley, CO",6 Months,792,396,816,79,28,175,103.030303,221.5189873
"Greeley, CO",12 Months,792,396,408,79,28,88,51.51515152,111.3924051
"Greeley, CO",18 Months,792,396,266,79,28,57,33.58585859,72.15189873
"Green Bay, WI",6 Months,990,498,1132,112,43,247,114.3434343,220.5357143
"Green Bay, WI",12 Months,990,498,566,112,43,123,57.17171717,109.8214286
"Green Bay, WI",18 Months,990,498,369,112,43,81,37.27272727,72.32142857
"Greensboro, NC",6 Months,1224,362,1409,135,47,304,115.1143791,225.1851852
"Greensboro, NC",12 Months,1224,362,704,135,47,152,57.51633987,112.5925926
"Greensboro, NC",18 Months,1224,362,459,135,47,99,37.5,73.33333333
"Greenville, NC",6 Months,1977,631,1894,339,115,409,95.80171978,120.6489676
"Greenville, NC",12 Months,1977,631,947,339,115,205,47.90085989,60.4719764
"Greenville, NC",18 Months,1977,631,618,339,115,133,31.25948407,39.23303835
"Greenville, SC",6 Months,2217,798,2078,282,41,450,93.73026613,159.5744681
"Greenville, SC",12 Months,2217,798,1039,282,41,225,46.86513306,79.78723404
"Greenville, SC",18 Months,2217,798,678,282,41,147,30.58186739,52.12765957
"Gulfport, MS",6 Months,609,287,441,80,40,94,72.4137931,117.5
"Gulfport, MS",12 Months,609,287,220,80,40,47,36.12479475,58.75
"Gulfport, MS",18 Months,609,287,144,80,40,31,23.6453202,38.75
"Hackensack, NJ",6 Months,3819,1057,2911,175,98,625,76.22414245,357.1428571
"Hackensack, NJ",12 Months,3819,1057,1455,175,98,313,38.09897879,178.8571429
"Hackensack, NJ",18 Months,3819,1057,949,175,98,204,24.84943703,116.5714286
"Harlingen, TX",6 Months,1145,536,1157,120,44,247,101.0480349,205.8333333
"Harlingen, TX",12 Months,1145,536,578,120,44,124,50.48034934,103.3333333
"Harlingen, TX",18 Months,1145,536,377,120,44,81,32.92576419,67.5
"Harrisburg, PA",6 Months,2426,929,2323,211,61,508,95.75432811,240.7582938
"Harrisburg, PA",12 Months,2426,929,1162,211,61,254,47.89777411,120.3791469
"Harrisburg, PA",18 Months,2426,929,758,211,61,166,31.24484749,78.67298578
"Hartford, CT",6 Months,2855,751,3342,323,115,724,117.0577933,224.1486068
"Hartford, CT",12 Months,2855,751,1671,323,115,362,58.52889667,112.0743034
"Hartford, CT",18 Months,2855,751,1090,323,115,236,38.17863398,73.06501548
"Hattiesburg, MS",6 Months,1546,504,667,85,30,143,43.14359638,168.2352941
"Hattiesburg, MS",12 Months,1546,504,334,85,30,72,21.60413972,84.70588235
"Hattiesburg, MS",18 Months,1546,504,218,85,30,47,14.10090556,55.29411765
"Hickory, NC",6 Months,603,253,646,64,25,141,107.1310116,220.3125
